Year,Dist Name,Lat,Lon,N,P,K,Mean_NDVI,ANNUALRAIN,Fertility_Class
2008,Kolhapur,16.691307,74.244865,59.02,31.43,24.02,0.481898898,1860.4,Medium
2009,Kolhapur,16.691307,74.244865,104.82,64.54,51.97,0.490786578,1715.4,High
2010,Kolhapur,16.691307,74.244865,143.8,87.35,78.56,0.503451163,1775,High
2011,Kolhapur,16.691307,74.244865,114.79,62.63,42.44,0.488954722,2022.6,High
2012,Kolhapur,16.691307,74.244865,106.81,44.59,40.29,0.48684186,1541.1,High
2013,Kolhapur,16.691307,74.244865,104.33,38.67,39.51,0.482902756,1297,High
2014,Kolhapur,16.691307,74.244865,124.75,52.5,50.86,0.515303878,1201.8,High
2015,Kolhapur,16.691307,74.244865,115.41,51.79,41.55,0.549340908,634.9,High
2016,Kolhapur,16.691307,74.244865,131.83,60.38,55.1,0.466133951,1259,High
2017,Kolhapur,16.691307,74.244865,116.54,50.93,50.2,0.516931607,1076.5,High
2007,Parbhani,19.25779,76.773743,31.86,18.59,8.74,0.414185391,791.1,Medium
2008,Parbhani,19.25779,76.773743,31.43,18.72,9.77,0.391062843,555.8,Medium
2009,Parbhani,19.25779,76.773743,32.85,26.48,9.54,0.39686017,560.6,Low
2010,Parbhani,19.25779,76.773743,44.47,35.89,17.04,0.423935398,921.2,Low
2011,Parbhani,19.25779,76.773743,51.67,31.64,10.4,0.418808729,624.5,Medium
2012,Parbhani,19.25779,76.773743,40.17,24.03,10.05,0.43224371,650.1,Low
2013,Parbhani,19.25779,76.773743,42.33,22.25,10,0.403953123,858.5,Low
2014,Parbhani,19.25779,76.773743,38.62,21.3,11.54,0.426214307,346.3,Medium
2015,Parbhani,19.25779,76.773743,33.95,25.89,10.02,0.389733052,326.9,Low
2016,Parbhani,19.25779,76.773743,32.85,20.43,8.7,0.384879535,743.9,Medium
2017,Parbhani,19.25779,76.773743,33.82,25.27,10.67,0.455040695,480.6,Low
2007,Beed,18.992012,75.776138,45,26.54,17.11,0.3696512,692,Low
2008,Beed,18.992012,75.776138,48.02,22.51,12.28,0.330219848,599.6,Low
2009,Beed,18.992012,75.776138,46.98,30.29,13.53,0.368110884,579.4,Low
2010,Beed,18.992012,75.776138,60.32,39.62,25.71,0.407548222,835.3,Medium
2011,Beed,18.992012,75.776138,73.87,45.39,14.58,0.375009457,683.4,Medium
2012,Beed,18.992012,75.776138,44.79,25.59,13.02,0.358556553,379.7,Low
2013,Beed,18.992012,75.776138,56.08,30.58,14.42,0.361197403,578.3,Medium
2014,Beed,18.992012,75.776138,51.77,25.84,13.07,0.383176947,348.3,Medium
2015,Beed,18.992012,75.776138,40.88,27.38,10.94,0.355295949,297.5,Low
2016,Beed,18.992012,75.776138,45.89,33.38,17.04,0.354577685,707.3,Low
2017,Beed,18.992012,75.776138,59.01,40.49,20.66,0.414673832,600.5,Medium
2007,Nanded,19.169815,77.319717,78.27,46.8,20.83,0.434250383,694.9,Medium
2008,Nanded,19.169815,77.319717,90.42,59.71,41.88,0.401488081,616.4,High
2009,Nanded,19.169815,77.319717,77.92,69.91,45.66,0.414307757,465,Medium
2010,Nanded,19.169815,77.319717,86.67,67.01,32.9,0.43829392,977.9,Medium
2011,Nanded,19.169815,77.319717,101.23,79.87,23.69,0.452786245,687.8,High
2012,Nanded,19.169815,77.319717,67.85,48.64,20.57,0.436314871,609.9,Medium
2013,Nanded,19.169815,77.319717,79.8,40.01,17.09,0.43567316,978.9,Medium
2014,Nanded,19.169815,77.319717,98.98,53.81,30.38,0.458470658,428,High
2015,Nanded,19.169815,77.319717,104.63,70.36,21.82,0.450208136,455.6,High
2016,Nanded,19.169815,77.319717,88.41,51.59,25.69,0.406086855,970.1,Medium
2017,Nanded,19.169815,77.319717,78.19,58.82,31.17,0.477660145,574.6,Medium
2007,Buldhana,20.536846,76.18087,53.74,30.98,11.81,0.401193604,729.81,Medium
2008,Buldhana,20.536846,76.18087,69.6,41.01,20.32,0.357963845,584.3,Medium
2009,Buldhana,20.536846,76.18087,66.24,51.31,14.88,0.392254427,560.8,Medium
2010,Buldhana,20.536846,76.18087,74.28,58.53,26.71,0.424200044,946.4,Medium
2011,Buldhana,20.536846,76.18087,83.92,57.67,14.15,0.384614902,626.4,Medium
